Date,VKOSPI,KOSPI200,Open_interest,For_KOSPI_Netbuying_Amount,For_Future_Netbuying_Quantity,For_Call_Netbuying_Quantity,For_Put_Netbuying_Quantity,Indiv_Future_Netbuying_Quantity,Indiv_Call_Netbuying_Quantity,Indiv_Put_Netbuying_Quantity,PCRatio,Day_till_expiration,Day_of_a_week
2009-06-02,33.45,180.9,4377777,4.94E+11,-4953,-24646,6581,1228,-466,31336,0.94,7,Tue
2009-06-03,32.66,180.47,4562690,-89970739025,47,-57128,46851,399,127709,-22259,0.93,6,Wed
2009-06-04,32.56,180.31,4827524,-1.09E+11,-7666,-2000,48883,5744,262558,10367,0.87,5,Thu
2009-06-05,32.95,175.75,5022921,98420238820,969,64792,27196,-1688,79789,113935,0.89,4,Fri
2009-06-08,30.41,177.77,5293996,43291792420,5797,10995,23123,-5534,97154,146244,0.81,3,Mon
2009-06-09,30.46,177.67,5520545,92510578190,-10439,-9091,33572,4393,165009,12536,1.02,2,Tue
2009-06-10,29.31,174.91,5993901,4.34E+11,11560,3077,86890,-2457,-96238,229505,0.84,1,Wed
2009-06-11,30.01,180.91,6296014,7.06E+11,-2304,-15814,56467,6899,382842,595436,1.08,0,Thu
2009-06-12,29.78,181.43,1006401,2.49E+11,2658,14800,47655,-77,-23011,-11870,1.33,19,Fri
2009-06-15,31.29,182.69,1440250,-47509425850,-4368,-13868,10659,309,-1396,-886,1.19,18,Mon
2009-06-16,31.62,180.66,1678006,-1.67E+11,-1942,6784,72246,950,1297,-69282,1.05,17,Tue
2009-06-17,31.69,178.88,1905263,-1.48E+11,-4338,8071,17990,850,14227,-18329,0.92,16,Wed
2009-06-18,32.08,177.8,2076758,-52618833320,-6618,11255,312,1751,15760,-12122,0.87,15,Thu
2009-06-19,30.82,175.54,2301930,25776756940,1276,-14752,1605,-1030,10661,13266,1,14,Fri
2009-06-22,30.24,176.63,2339178,20834302335,2671,-25173,16655,-2847,22403,12065,1.1,13,Mon
2009-06-23,31.74,179.02,2487128,-2.17E+11,-9818,14142,24492,4847,42321,-45333,0.94,12,Tue
2009-06-24,31.16,174.32,2672396,-76513343805,428,5908,-26992,-2710,-841,24135,0.91,11,Wed
2009-06-25,29.54,175.08,2720320,4.28E+11,813,79154,-28621,-2736,-67555,33695,0.88,10,Thu
2009-06-26,28.26,178.86,2757655,3.59E+11,61,3642,3364,-2402,16007,9575,0.92,9,Fri
2009-06-29,28.27,179.28,2785107,30467385810,856,-2642,-4185,1008,66714,1549,0.82,8,Mon
2009-06-30,27.26,178.81,3088038,57020344610,4326,-4267,3567,1193,31211,35376,0.93,7,Tue
2009-07-01,25.98,178.99,3264768,1.84E+11,6250,46130,62159,-2292,-53868,64713,0.65,6,Wed
2009-07-02,26.09,181.95,3601645,2.82E+11,-6786,-3791,83352,1181,91312,64415,1.21,5,Thu
2009-07-03,25.26,181.85,3788655,80561133820,889,17032,47783,-451,102679,27893,0.79,4,Fri
2009-07-06,26.24,182.92,3941976,1.14E+11,-1597,-24898,28763,-238,33988,175768,0.95,3,Mon
